Yachtski Score,Artist,Title
83.75,Doobie Brothers,Real Love
83.75,George Benson,Give Me the Night
83.75,Lee Ritenour,Mr. Briefcase
83.75,Nicolette Larson,When You Come Around
83.75,The Dukes (Bugatti & Musker),So Much In Love
83.5,Bill Withers,Something That Turns You On
83.5,Byrne & Barnes,Keep On Running
83.5,Marc Hunter,Thrill Has Gone
83.5,Rick Riso,Gotta Have The Real Thing
83.5,Robbie Dupree,Hot Rod Hearts
83.25,Bob & Pauline Wilson,Somebody Loves You
83.25,Kenny Loggins,I Gotta Try
83.25,Marc Jordan,I'm a Camera
83.25,Martie Echito,Cryin' In the Night
83.25,Pages,O.C.O.E. (Official Cat of the Eighties)
83.25,Ray Parker Jr.,It's Our Own Affair
83.25,The Jacksons,Give It Up
83.125,Commodores,Welcome Home
83.0,Diane Tell,"Souvent, Longtemps, Énormément"
83.0,George Duke,Give Me Your Love
83.0,Jakob Magnusson,From Now On
83.0,Karizma,I've Been Played The Fool Again
83.0,Steve Kipner,The Ending
82.75,Al Jarreau,Step by Step
82.75,George Duke,Straight From The Heart
82.75,Marc Jordan,Slipping Away
82.75,Ray Parker Jr.,A Woman Needs Love (Just Like You Do)
82.75,Roby Duke,All Lost
82.75,Young Gun Silver Fox,Burning Daylight
82.625,Sergio Mendes w/ Joe Pizzulo,Alibis
82.5,Frank Stallone,Waking Up
82.5,Jim Schmidt,Love Has Taken It All Away
82.5,Nicolette Larson & Michael McDonald,"Let Me Go, Love"
82.25,"Andrus, Blackwood and Company",The Other Side
82.25,Cynthia Rhodes,Finding Out The Hard Way
82.25,Michael Franks,Comin’ Home To You
82.25,Michael Jackson,Carousel
82.25,Peter Allen,One Step Over the Borderline
82.0,Alan Sorrenti,Beside You
82.0,Christopher Cross,Baby Says No
82.0,Diane Tell,Tes Yeux
82.0,Henrik Hansson,Right From Wrong
82.0,Kristle Murden,I Can’t Let Go
82.0,Young Gun Silver Fox,Born To Dream
81.75,Andraé Crouch,Lookin' For You
81.75,Michael McDonald,No Such Luck
81.75,Patti Austin,All Behind Us Now
81.75,Patti Austin,Do You Love Me
81.75,Positive Force ft. Denise Vallin,You Told Me You Loved Me
81.75,Randy Crawford,You Might Need Somebody
81.75,The Boys Band,Think About It
81.75,The Doobie Brothers,Dedicate This Heart
81.5,Chaka Khan,Through the Fire
81.5,Dane Donohue,Woman
81.5,George Duke,Movin' On
81.5,John O'Banion,Love You Like I Never Loved Before
81.5,Kettner & Shawe,Take This Heart
81.5,Marc Jordan,Beautiful People
81.5,Mariya Takeuchi,Secret Love
81.25,Al Jarreau,Breakin' Away
81.25,Bill Champlin,What Good Is Love
81.25,Bobby Caldwell,Coming Down From Love
81.25,Byrne & Barnes,Love You Out of Your Mind
81.25,George Benson,Lady Love Me (One More Time)
81.25,Jeffrey Osborne,Eenie Meenie
81.25,Kelly Willard,Blame It On The One
81.25,Rude Jude,Just A Little Fun
81.25,Steve Kipner,The Beginning
81.0,Al Jarreau,Boogie Down
81.0,Amy Holland,Show Me the Way Home
81.0,Doobie Brothers,Takin' It to the Streets
81.0,Jimmy Hall,I'm Happy That Love Has Found You
81.0,The Doobie Brothers,Dependin' On You
80.75,Al Jarreau,Distracted
80.75,Al Jarreau,We're In This Love Together
80.75,Bobby Caldwell,Never Give Up
80.75,Lionel Richie,Running With the Night
80.75,Makoto Matsushita,One Hot Love
